 Blood Bank Name, Address, Contact No, Latitude, Longitude
Inlaks Budharani Hospital Blood Bank,"7-9, Koregaon Park, Pune","020 66099999, 020 66099727, 020 66099703",18.534391,73.887409
Indian Serological Institute Blood Bank,"21, Anand Baugh, Navi Peth, Near Vaikunth, Pune","020 24535244, 020 24538453",18.506291,73.84264
Acharya Anandrushiji Blood Bank,"191-192, New Sadashiv Peth, S. M. Joshi Foundation Building, Near Patrakar Bhavan, Pune","020 24537627, 020 65250707, 020 24531600",18.508647,73.844846
Akshay Blood Bank,"Survey No.10/1/3, Unnati Nagar, Bantar High School, Hadapsar, Pune","020 26993247, 020 26993248,  ",18.47143,73.959674
Garware Blood Bank - Talegaon Rural Hospital,"Talegaon Dhabhade, Maval, Pune ","02114 223916, 02114 308399",18.735319,73.675984
Jehangir Hospital Blood Bank,"32, Sasoon Road, Pune ","020 66811722, 020 66811723,",18.530392,73.876808
KEM Hospital Blood Bank,"Sardar Moodliar Road, Rastha Peth, Pune","020 26125600, 020 66037324, 020 26125603",18.519784,73.866906
Grant Medical Foundation A.H. Wadia Trust Blood Bank,"40, Sassoon Road, Ruby Hall Clinic, Post Box No. 70, Pune","020 26166318, 020 66455264, 020 26163391",18.533369,73.876939
Bharati Vidyapeeth Medical Foundation Blood Bank,"Sector - 28, Dhankawadi, Pune Satara Road, Pune","020 40555555, 020 24379432",18.459914,73.855994
Padmashree Dr. D.Y. Patil (Vishweshwar) Blood Bank,"Padmashree, Dr. D. Y. Patil Medical College Hospital, Sant Tukaram Nagar, Pimpari, Pune","020 27423844, 020 27420439",18.624175,73.82126
Deenanath Mangeshkar Hospital Blood Bank,"Erandawane, Near Mhatre Bridge, Pune","020 26602307, 020 26602308, 020 26602313, 020 25420104",18.502108,73.832232
Poona Serological Institute Blood Bank,"C.T.S. No. 592, 3rd Floor, Dhanwantari Complex, Rasta Peth, Pune","020 26133387, 020 26141719, 020 27472876                     ",18.516656,73.866532
Sahiyadari Speciality Hospital Blood Bank,"Kokoan Mitra Mandal Medical Port Trust&#39;s Sahiyadari Speciality Hospital Blood Bank, Plot No-30 C, Erandvane, Karve Road, Pune ","020 25403232, 020 67213000",18.513091,73.839308
Aditya Birla Memorial Hospital Blood Bank,"Survey No:31, Near Morya Mangal Karyalay, Thergaon, Chinchwad, Pune ","020 30717690, 020 30717676",18.625716,73.774775
Rakesh Jain Memorial Blood Bank,"Poona Hospital and Reserch Centre 27, Sadashiv Peth, Pune  ","020 24331706, 020 66069000, 020 24338477",18.510752,73.842158
Noble Hospital Blood Bank,"B-007, Basement C/o. Noble Hospital, 153 Magarpatta City Road, Hadapsar, Pune  ","020 66285050, 020 66285199",18.505035,73.927256
Smt Kashibai Navale General Hospital Blood Bank,"Sr. No. 50/15 building NO.5 2nd Floor, Narhe, Ambegaon, Pune  ","020 241062299, 020 24699884, 020 24106274",18.45624,73.822183
Pimpari Serological Institute Blood Bank,"Esteem Tower, opposite K.S.B. Pump, Pune-Mumbai Highway, Kharalwadi, Pimpari ","020 27421179, 020 27427779",18.624322,73.807929
Chakan Blood Bank,"Sr. No. 4976/1/2 Gate No. 2401, Yashwantnagar Ambethan Road. A/P Chakan, Khed, Pune ",02135 202141,18.762296,73.860866
R.G Gholap Memorial Blood Bank,"Office No. 301, 3rd Floor Ashoka Centre, S. No - 47/14, Satara Road, Parvati, Pune","020 65402140, 9822442140, 8554942140",18.487158,73.857098
Kranti Mitra Mandal Charitable Trust Blood Bank,"1st Floor PMT Buiding Gadital, Hadapsar, Pune ","020 26992828, 020 64782828, 020 26993703",18.501083,73.939062
Krantiveer Chapekar Bandhu Blood Bank,"Pimpri Chinchwad Mahanagar Palika Talera Hospital, Tanaji Nagar Chinchwad, Pune  ","020 27610054, 020 27610042",18.625689,73.784672
The New Century Medical & Education Foundation Trust - NCORD Blood Bank & Aphaeresis Centre,"NCORD Blood Bank and Aphaeresis centre, S. No. 241/2/1, Geet Ganga Building, Medipoint Hospital Lane, Baner, Pune",020 46608585,18.56475,73.800994
Ekta Apang Vikas Sanstha Blood Bank,"Office No. 17/18/19, 1st Floor, Sunshree Woods Commercial Complex, NIBM, Kondhwa, Haveli, Pune",020 26855144,18.477273,73.90302
Chattrapati Shahu Maharaj Pratisthan Blood Bank,"S. No. 30, 4th Floor, Office No. 41, 402, 403, and 5th Floor off 502, Waris Heights, Pune - Satara Road, Dhankwadi, Pune",020 65267000,18.466161,73.857642
District Civil Surgeon Blood Bank,"District Hospital Blood Bank, Civil Hospital Campus, Sea Face Road, Alibag  ",02141 225734,18.640782,72.871716
Kakasaheb Chitle Memorial Centre Sanchalit - Jankalyan Blood Bank,"C.S. No. 1651, Near Lokmanya Vyayamshala, Shiwaji Chowk, Mahad, Raigad","02145 222604, 02145 225103, 02145 224807 ",18.082736,73.42265
Advanced Centre for Treatment Reasearch and Education in Cancer,"Owe Village, Sector 22, Plot No. 2, Kharghar, Navi Mumbai ",022 27405073,19.065019,73.064507
Shree Sai Blood Bank & Component,"103,104,105,1st Floor Tirthraj Building, Old Thana Naka Road, Near Taluka Police Station,  Old Panvel, Raigad","022 27467856, 022 27450885, 022 27463796",18.99397,73.106561
Rotary Club New Panvel charitable Trust s Late Dr. B.V. Limaye Blood Bank,"Plot No-8, Sect.1, Khanda Colony, Mumbai Pune Road, New Panvel (W) ","022 27459322, 022 32092960",19.008249,73.108321
Civil Surgeon - General Hospital Blood Bank,"Civil Hospital, Ratnagiri",02352 225616,16.989126,73.298866
Shree Swami Samarth Blood Bank,"B.K.L.Walwalkar Hospital Diagnostic & Research Centre, Shree Kshetra Darvan, Chiplun, Ratnagiri","02355 264137, 02355 264149, 02355 264181            ",17.399914,73.547448
Indian Red Cross Society Blood Bank,"Khareghat Road, Ratnagiri","02352 223262, 02352 222347",17.019013,73.298977
Padmabhushan Vasantdada Patil Government Hospital Blood Bank,"Padmabhushan Vasantdada Patil Government Hospital , Blood Bank, Dr. Ambedkar Road, Sangli .                                         
","0233 2374651, 0233 2374652, 0233 2374653, 0233 2374654, 0233 2374655",16.852571,74.574678
Rajaram Bapu Blood Bank,"Islampur C.S. No. 99/1, Near Islampur Spiral CT-Scan,
Peth-Sangli Road
",02342 224939,17.048399,74.251122
Vasantdada Patil Blood Bank and Haematology Research Centre,"AIP - Miraj, Mirasaheb Shopping Complex,  Opposite to City Police Station, Miraj, Sangli","0233 2229619, 0233 2222319",16.82132,74.649492
Miraj Medical Centre - Wanless Hospital Blood Bank,"Wanless Hospital Blood Bank, Medical Centre, Miraj","0233 2223291, 0233 2223292, 0233 2223293, 0233 2223294, 0233 2223295",16.832135,74.645472
Jeevan Rekha Charitable Trust Blood Bank,"H. No. 329/E, Ward No. 5, 1st Floor, Umrani Road, A/p-jath, Sangli
","02344 248000, 02344 248922",17.049271,75.204853
Smt. Anila Kantilal Kothari Blood Bank & Department of Hemato Oncology,"Dr. D. K. Gosavi Memorial, Shri Siddhivinayak Ganapati Cancer Hospital, Sangli - Miraj Road, Miraj","0233 2212155, 0233 2211601, 0233 2211602",16.833879,74.635364
Bharati Vidyapeeth University Medical college And Hospital Blood Bank,"A/p Wanlesswadi, Miraj 
","0233 2601594, 0233 2601593 (Extn. 266)",16.841716,74.617969
Hindratna Prakashbapu Patil Blood Bank,"2nd Floor, Siddhivinayak Commercial Complex Guest House, Miraj Road, Near Tata Petrol Pump, Sangli
",0233 2672233,16.8537,74.580099
Miraj Serological Institute Blood Bank,"S. No.795/A1, Dr. Bhalchandra Patil Hospital,  Zaribag Budhgaonkar Mala, Near Gulabrao Patil Medical College, Miraj 
","0233 6451819, 0233 2211400",16.828931,74.639399
Akshay Blood Bank,"Plot No. 1/7, Near Anand Nursing Home, 2nd Floor, Miraj Sangli Road,  Sangli","0233 2212448, 0233 2212449 ",16.838026,74.651827
Indian Red Cross Society Blood Bank - Shirgaonkar Blood Bank,"Opposite to Civil Hospital, Plot No. 49, City Survey No.601/7, Sangli","0233 2373044, 0233 2372376",16.853702,74.575077
Shree Basaveshwar Manav Vikas Gramin Sevabhavi Sanstha Blood Bank,"Arihant Galaxy, 1st Floor, C.S. NO- 1599, Opposite to Civil Hospital, Garpir Road, Sangli
","0233 6012777, 09604520087, 07798539069",16.842421,74.619929
Azad Panchi Group Charitable Trust Blood Bank,"Near Civil Hospital, Ganesh Nagar, 1st Lane, S. No. 1682, Sangli
",0233 2374333,16.844539,74.572891
S. S. Venutai Y. Chavan Sub-District Hospital Blood Bank Karad,"Plot No. 290/91, Budhwar Peth Station Road, Karad, Satara","02164 222459, 02164 221020",17.288048,74.186177
Civil Surgeon - Sarva Samanya Hospital Blood Bank,"Bazar Road, Satara","02162 238494, 02162 235640                ",17.691305,74.009424
Phaltan Medical Foundation Blood Bank,"C.T.S. No. 5604/6, Near Dnyaneshwar Mandir, Behind State Bank of India, Laxminagar, 1st Floor Phaltan, Satara","02166 221197, 02166 220897, 02166 220007 ",17.992317,74.42537
Krishna Hospital and Medical Research Centre Blood Bank Karad,"Poona Bangalore (NH 4) Highway, Near Debhewadi Road, Karad, Satara","02164 241456, 02164 242170",17.285065,74.185701
Instutute of Medical Science and Research Blood Bank and Blood Component Seperation Unit,"Shree Chatrapati Shivaji Education Societys, Instutute of Medical Science and Research Blood Bank and Blood Component Seperation Unit,  Vita Road, Vidyagiri, Mayani, Satatra","02161 270661, 02161 270761 (Extn. 303)",17.431214,74.549364
M/s. K. N. Gujar Blood Bank,"M/s K.N. Gujar Blood Bank, F. P. No. 21, 203/A/6, 1st Floor, K.N. Gujar Hospital, Shanivar Peth, Near S.T. Bus Stand, Karad, Satara",02164 222868 ,17.278263,74.183727
M/s. Balaji Blood Bank,"M/s. MA. NA. Shri R.R. (AABA) Patil Shikshan Sheti Sanshodhan Aani Vikas Sansthas  Balaji Blood Bank, C.S.No - 467/8 A 1b/45, Jaldhara Building 2nd Floor, Sadar Bazar, Satara - 415002
","02162 226995, 02162 226996 ",17.695093,74.010716
Akshay Blood Bank,"Akshay Medical Trust, Akshay Blood Bank, 506/22, Sadar Bazar, Near State Bank, Opposite to Nirmal Hotel, Satara","02162 230730, 02162 231731",17.672028,74.021087
Mauli Blood Bank Satara,"529/b,  Parasnis Colony, Near Hotel Monark, Powai Naka Sadar Bazar, Satara ","02162 222586, 02162 222031",17.686084,74.007955
Yashwantrao Chavan Blood Bank,"Phase 5, Super Market, 1st Floor Hall No. 2/1 Final Plot No. 432,433, Shaniwar Peth, Karad  ",02164 228122,17.275751,74.18181
Civil Surgeon - General Hospital Blood Bank,"Sindhudurg Oros, At Post - Oros, Kudal, Sindhudurga (Oros)",0236 2228902,16.12019,73.689563
"Cottage Hospital Blood Bank, Sawantwadi","Sub -District Cottage Hospital, Blood Bank, Sawantwadi, 
C-Sindhudurg",02363 275035,15.902781,73.823544
Dean Chatrapati Shivaji Maharaj Sarvopchar Hospital Blood Bank,"B-Block Ground Floor, Shri. Chatrapati Shivaji Maharaj Sarvopchar Hospital, Solapur, Maharashtra","0217 2310766, 0217 2749440",17.659024,75.912826
Shri Markendya Charitable and Medical Trust Irrapanna N Boli Blood Bank,"Ashok Chowk, 896/97, Bhavnarishi Peth (Bolli Mangal Karayalaya 1 floor, Solapur","0217 2653829, 0217 2390144, 0217 2620348",17.659918,75.906391
"Dr. Hegdewar Rakta Pedhi Sanstha, Solapur","1st Floor, Sahyadri Shopping Centre Railway Lines, Solapur","0217 2311215,  0217 2311281, 0217 2311215, 0217 2311281",17.66391,75.900793
Solapur Blood Bank,"136, Railway Line, Near Railway Station, Near Atthar Hospital, Anjani Chembers,  Solapur","0217 2317242, 0217 2318028 ",17.65992,75.906391
IMA - Sahakar Maharshi Shankarrao Mohite Patil Blood Bank,"804, Old Pandharpur Road, Ganeshnagar Akluj, Solapur","02185 222101, 02185 225601, 02185 222665, 02185 222166",17.660169,75.906401
Akshay Blood Bank,"Survey No. 2212, First Floor, Laxmi Narayan Apartment, South Sadar Bazar, Solapur ","0217 2315025, 0217 26993247",17.669558,75.915101
M. M. Patel Public Charitable Trust - Ashwini Rural Medical College and Hospital Blood Bank,"Kumbhari, Gat No. 261 and 262 , Akkalkot Road, Kumbhari, 
Tal.South Solapur. Dist. Solapur ","0217 2280891, 0217 2280897",17.644778,75.986234
Athar Minorities Social and Welfare Associations - Athar Blood Bank,"1st Floor, 410 Shukrawar Peth, Jamiya Complex, Near Jama Masjid, Solapur",0217 2622999,17.676725,75.910238
Indian Red Cross Soceity - Shriman Rambhai Shah Blood Bank,"Jawaharlal Hospital Compound, Shivaji Road, Barsi, Somwarpeth, Solapur",02184 222399,18.2335851,75.6877062
Indian Red Cross Society - Smt. Gopabai Damani Blood Bank,"165 Railway Line, Red Cross Road, Dufferin Chowk, Solapur ","0217 2726858, 0217 2722106",17.660077,75.906391
Indian Red Cross Society - Sarjubai Bansila Bajaj Blood Bank,"62/2/3/4, Bhakti Marg, Pandharpur, Solapur","02186 223650, 02186 222219",17.562936,75.265589
SIDDHESHWAR BLOOD BANK,"Kalyani Towers, 126 Siddheshwar Peth, Near Yashwantrao Hospital Behind civil court, Solapur ",0217 2323222,17.672075,75.904841
Tarapur Atomic Power Station Hospital Blood Bank,"TAPS Hospital Blood Bank, TAPS 1&2 (Anushri) Township Near Boisar, Palghar ",02525 264001,19.813093,72.743519
Vitthal Sayanna General Hospital (Civil Hospital) Blood Bank,"Civil Hospital, 1st Floor, Tembhi Naka, Thane (W)-400601
","022 25472582, 022 25471409, 022 25471409",19.199056,72.978096
Central Hospital Blood Bank,"Ulhasnagar, Central Hospital, Nehru Chowk Road, Ulhasnagar","0251 2709432, 0251 2708730",19.229578,73.165135
JVP Blood Bank and Transfusion Centre Blood Bank,"201, 213 Arenja Arcade Plot No. 4 Sec-17, Next to Apana Bazar, Vashi, Navi Mumbai","022 27894490, 022 67912094",19.072305,73.000676
Sankalp Blood Bank,"Riddhi Siddhi, Opposite to ICICI Bank, Near Ramchandra Hall, Murbad Road Kalyan (W)","0251 2300096, 0251 2203974",19.241131,73.146766
Jupiter Hospital Blood Bank,"Jupiter Hospital, Eastern Express Highway, Service Road, Near Voltas,  Naupada, Thane (W)  ","022 21725521, 022 21725555, 022 25853320",19.209617,72.972405
Plasma Diagnostic Lab and Blood Bank,"Meghdoot, Building, Gopal Nagar, Hotel Janaki, Opposite to Manjunath School, Dombivali( E)","0251 2802491, 0251 2453568, 0251 2438078",19.215794,73.096159
Vaidhya Blood Bank,"1st Floor. Satyam Apartment, M.G. Road, Jeevan Jyot Hospital, Near Naupada Police Station, Thane (W)","022 25380787, 022 25411773",19.187896,72.96724
Mahatma Gandhi Mission Medical College and Hospital Blood Bank,"Plot No. 1 and 2, Sector-18, Kamothe, Navi Mumbai","022 27863483, 022 27427905, 022 27420320",19.003199,73.118362
Navjeevan Blood Bank,"Gokhale Road, Naupada, Near Dr.Mhaskar&#39;s Hospital, Thane (W)","022 25400425, 022 25339495                ",19.187729,72.967926
Sarla Blood Bank,"Ravi Hospital, 1st Floor, 50 Anand Nagar, Navghar Vasai (W)","0250 2332684, 0250 2349950, 0250 3256565, 0250 2332425",19.255677,72.865577
Tssia Blood Bank,"Tssia House, Road No.P 26/T,Rd-16, Wagle Estate, Thane (W) ","022 25803263, 022 39410060, 022 25362283                       ",19.194769,72.952884
Katiya Charitable Trusts Bhiwandi Blood Bank,"271, Second Floor, Al-Hera Complex, Teen Batti Bhiwandi, Thane","02522 258065, 02522 221858, 02522 251614 ",19.3010982,73.0563136
Kai Wamanrao Oak Blood Bank,"Ghantali Mandir Road, Vishnu Nagar, Naupada, Thane","022 25385248, 022 25392440",19.186459,72.975467
Blood Line Blood Bank,"Swargiya Dharmvir Anand Dighe Sankool, Tika No-10, Near Vikas Palm, Dr. Ambedkar Road, Thane (W) ","022 25374000, 022 25375000, 022 25376000",19.200762,72.97498
Kalyan Dombivali Municipal Corporation Sponsored Nandakishore Education Society Arpan Blood Bank,"2nd Floor, Bai Rukhminibal Hospital, Kalyan (W) ",0251 3266322,19.244366,73.122511
Smt. Devkaabai Kalyanji Chheda Amrutvahini Blood Bank,"Ashirwad Apartment, 2nd Floor,  Dshsnu (E), Thane ","02528 220478, 02528 220614",19.208377,72.847668
Sanjeevan Blood Bank ,"1st Floor, Indravati Hospital, Sector-3, Airoli, Navi Mumbai ","022 27790286, 022 27790287, 022 27794582",19.156842,72.997815
Vijayee Blood Bank,"Andrandes Bhavan 1st Floor, Plot No. 2, Sr. No 277-A, Behind Papdi Telephone Exchange, Near Sai Services,  Vasai (W) ","0250 2321050, 0250 6450250",19.358711,72.811841
Mira Bhayandar Municipal Corporation Rajeev Gandhi Blood Bank,"C.S No.30/32 Poonam Sagar Complex, Near Allahabad Bank Mira Road (E), Thane",022 64510666,19.274233,72.861175
"Maharashtra Blood Bank, Component and Apheresis Centre","C- Wing, 107/207, Kuldeep Arcade, Near Navli Railway Phatak, Station Road, Palghar (W), Thane ","02525 251102, 02525 253102",19.692902,72.772639
Chidanand Charitable Trust Dombivali Blood Bank,"Siddhi Hospital, Bajiprabhu Chowk, Dombivali (East) ",0251 284393,19.212614,73.088869
Seva Blood Bank,"Pushpadev Apartment, Basement, Opposite to Manav Kalyan Kendra, Near Sarvesh Hall, Dombivali ",0251 2442283,19.215715,73.091599
Chhatrapati Shivaji Maharaj Hospital Blood Bank,"Thane Belapur Road, Kalwa, Thane","022 25347784, 022 25347785, 022 25347786,  022 25372777, 022 25347791",19.1922569,72.986723
Navi Mumbai Municipal Corporation Blood Bank,"General Hospital Vashi, Near Saint Mary Church, Sector-10, Vashi, Navi Mumbai","022 27888750, 022 27899906",19.082788,72.996027
"District - Civil Surgeon, General Hospital Blood Bank Wardha","New Building, OPD 1st Floor General Hospital, Dr. Ambedkar Road, Near Jilha Parisad, Wardha","07152 245249, 07152 250624",20.737833,78.603162
Kasturba Health Society Blood Bank,"Sevagram, Department of Pathology, MGIMS and Kasturba Hospital,  Sevagram, Wardha","07152 284108, 07152 284333",20.739287,78.660927
Jawaharlal Nehru Medical College Blood Bank,"Savangi (Meghe), Paloti Road, Wardha","07152 287877, 07152 287701, 07152 287706, 07152 287714, 07152 287711",20.715824,78.575564
"Civil Surgeon, General Hospital Blood Bank Washim","General Hospital Blood Bank, Near Akola Naka,  Washim ","07252 233066, 07252 233379",20.12259,77.127893
Sau Kantadevi Dale Blood Bank,"Maa Ganga Memorial Baheti Hospital, Akola Naka, Washim ","07252 234343, 07252 235606",20.105396,77.143122
Shri Vasantrao Naik Blood Bank ,"Government Medical College and Hospital, Yavatmal",07232 242456,20.39524,78.118668
Laxmi Blood Bank,"Chiddarwar Hospital, Motinagar, Pusad, Yavatmal","07233 246775, 07233 246535, 07233 246535    ",19.906603,77.567708
Satyashanti Blood Bank,"2nd Floor, Satyashanti Hospital, Opposite to Bus Stand, Pusad","07233 248095, 07233 246095 ",19.910776,77.569957
Aishwarya Blood Bank,"Survey No.3/2, Godhani Road, Gurunanak Nagar, Near Amolakshand College, Mouza, Umarsara, Yavatmal","07232 252500, 07232 242340         ",20.389322,78.118544
Shri Gajanan Blood Bank And Components,"Property No: 71, Road No.9, 2nd Floor, Bajaj Satkar Bhavan, Yavatmal (m.s) ",07232 242985,20.418283,78.12953
Ekneel Blood Bank,"Near City Centre, Datta Chowk",07232 250111,20.389322,78.118544
District Hospital Blood Bank ,"Churachandpur District Hospital, IB Road, Hiangtam Lamka",387423396,24.343447,93.692909
JNIMS Hospital Blood Bank and Transfusion Unit ,"JNIMS Hospital, 
Ryang Palli Road, Near TV Road
Porompat, Imphal East","0385 2443142, 0385 2443144",24.811173,93.961697
Model Blood Bank - Department of IHBT,"RIIMS, Lamphalphelpat, Lamphel Road, Imphal",0385 2411434,24.815898,93.922827
Shija Blood Bank and Transfusion Services   ,"Shija Hospital and Research Institute, Meitei Langol, Lamphelpat, Imphal",0385 2055584,24.835805,93.914217
District Hospital Blood Bank and Transfusion Unit,"District Hospital, Khangbok, Maning Leikai, Manipur",0384 8222214,24.624975,94.013034
Military Hospital Blood Bank,"Military Hospital, Rilbong, Shillong","0364 2224300, 0364 2224302",25.571624,91.873071
Nazareth Hospital Blood Bank ,"Nazareth Hospital, Laitumkhrah, Shillong ",0364 2224052,25.571321,91.897913
" Regional Blood Bank, East Khasi Hills - Pasteur Institute","Pasteur Institute, Pasteur Hill, Lawmali",0364 2591629,25.583606,91.884132
North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences Blood Bank,"North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences , Mawdiangdiang, Shillong",0364 2538063,25.591485,91.940381
Dr. H. Gordon Roberts Hospital Blood Bank,"Jaiaw, Shillong                               ",0364 2545826,25.584829,91.875283
Tura Civil Hospital Blood Bank,"Tura Civil Hospital, Dermile, Near Dermile Fuel Station
",03651 232043,25.514811,90.203482
Jowai Civil Hospital Blood Bank   ,"Jowai Civil Hospital, Durlong
Opp. Lower Primary School Panaliar,
Panaliar Towai",03652 20735,25.438521,92.199331
Civil Hospital Blood Bank Aizawl,"Block -B , Civil Hospital,
Near Millenium Centre,Aizawl
",0389 2341617,23.732287,92.716561
Synod Hospital Blood Bank Durtlang,"Blood Bank, Synod Hospital, Durtlang",0389 2361222,23.772714,92.731326
District Hospital Blood Bank Champhai,"District Hospital, Champhai
Vengsang Champhai
Near BSNL office Champhai",03831 234926,23.48105,93.3097
District Hospital Blood Bank Kolasib,"Blood Bank, District Hospital, Kolasib
Venglai, Kolasib, Hospital Road",03837 221930,24.231419,92.676799
District Hospital Blood Bank Lawngtlai,"District Hospital, Electric veng, Near CMO office, Lawngtlai",03835 232210,22.536684,92.888179
Civil Hospital Blood Bank,"Civil Hospital, Chanmari-2 Lunglei",0372 2324555,22.886385,92.744135
Christian Hospital Blood Bank Serkawn,"Christian Hospital, Serkawn",0372 2342268,22.90691,92.758415
District Hospital Blood Bank Mamit,"Blood Bank, District Hospital,Lungsir, Mamit",0389 2565655,23.909365,92.494861
Civil Hospital Blood Bank Saiha,"District Hospital, New Saiha West, Saiha",03835 222388,22.488391,92.982668
"J N Hospital Blood Bank,Serchhip","Blood Bank, District Hospital, Serchhip",03838 226184,23.307946,92.856366
"Odisha Red Cross Blood Bank, Angul","District Head Quarter Hospital, Angul
",06764 230880,20.9211366,84.8567932
"Odisha Red Cross Blood Bank, SDH, Athamallik","Sub Divisional Hospital Athamallik, Badadamdasahi, Athamallik",06763 254213,21.20617844,84.93461609
Sub Divisional Hospital Talcher,"Sub-Divisional Hospital, Talcher, Angul",06760 242020,20.946461,85.240965
Neheru Satabdi (N.S) Central Hospital Blood Bank,"Neheru Shatabdi Hospital, MCL, AT/PO - Dera, Talcher",06760 267118,20.931088,85.173211
"Odisha Red Cross Blood Bank, Balangir","District Head Quarters Hospital Campus, Balangir
",6652230646,20.707443,83.494856
"Biju Padhnaik Red Cross Blood Bank, CHC Kantabanji","Road No: 1, CHC Kantabanji , Balangir, Odisha",06657 220464,20.468944,82.914898
"Odisha Red Cross Blood Bank, Patnagarh","Sub Divisional Hospital Blood Bank Patnagarh , At/Po/Ps- Patnagarh",06658 222161,20.708494,83.129548
"Odisha Red Cross Blood Bank, SDH, Titlagarh                    ","Sub-Divisional Hospital,Titlagarh, At/Po/Ps- Titlagarh,  Balangir",06655 220318,20.2894944,83.1516406
"Odisha Red Cross Blood Bank, Balasore","District Head Quarters Hospital, Baleshwar",06782 241496,21.493347,86.935961
Jyoti Hospital Blood Bank,"Kuruda, Balasore","06782 256375, 06782 256376",21.471497,86.891335
"Odisha Red Cross Blood Bank, Nilagiri","Sud Divisional Hospital,  Nilagiri, At/Po/Ps-Nilagiri",06782-233237,21.463441,86.775551
"Odisha Red Cross Blood Bank, Baragarh","Distict Head Quarter Hospital, Bargarh",06646 234104,21.335042,83.616202
"Catholic Mission Hospital Blood Bank, Bargarh","Bargarh-Bheden Rd, Tora, Ruhunia",06646 230203,21.331385,83.608727
"Odisha Red Cross Blood Bank, SDH, Padampur","At-Padampur, Po-Rajborasambar,",06638 223490,20.999564,83.060982
"Odisha Red Cross Blood Bank, Bhadrak ","District Head Quarter Hospital, Bhadrak",06784 251817,21.065246,86.502463
"Odisha Red Cross Blood Bank, Boudh ","District Head Quarters Hospital, NH 224, Boudh",06841 222202,20.840309,84.321603
"Central Red Cross Blood Bank, Cuttack","Mangalabag, Medical Road, Cuttack",0671 2302258,20.474804,85.888633
Shrirama Chandra Bhanj (SCB) Medical College Blood Bank,"Dock Road, Manglabag",0671-2424202,20.473658,85.892097
"Odisha Red Cross Blood Bank, Deogarh","District Head Quarters Hospital, Deogarh
",06641 226182,21.534301,84.729719
"Odisha Red Cross Blood Bank, Dhenkanal",District Head Quarters Hospital,06762 221388,20.663314,85.597065
"Odisha Red Cross Blood, Paralakhemundi","District Hospital, Paralakhemundi,Gajapati","06815 222467, 06815 222787",18.771476,84.096865
Maharaja Krishna Chandra Gajapati Medical College Blood bank,"National Highway 59, Berhampur, Ganjam",0680 2292534,19.312434,84.810241
"Odisha Red Cross Blood Bank, SDH, Bhanjanagar",Sub Divisional Hospital Bhanjanagar,06821 240133,19.93655984,84.57996368
"Odisha Red Cross Blood Bank, Jagatsinghpur","District Head Quarters Hospital, Jagatsinghpur",06724 221808,20.251662,86.179783
"Odisha Red Cross Blood Bank, Jajpur","District Head Quarters Hospital, Jajpur",06728 225177,20.849463,86.328963
"Odisha Red Cross Blood Bank, CHC Jajpur road",CHC Jajpur Road,06726  224957,20.948487,20.948487
"Odisha Red Cross Blood Bank, Jharsuguda","District Head Quarter Hospital, Near Hanuman Mandir, ",06645 272180,21.853817,84.017235
"TRL Hospital, Belpahada","TRL Hospital, Belpahar, Jharsuguda, Odisha ",06645 258411,21.8138695,83.8530636
"Central Hospital (MCL), Brajaraj Nagar","Blood Bank, Central Hospital (MCL),Brajaraj Nagar, Jharsuguda",06760 269382,21.8479363,83.9174688
District Head Quarters Hospital Blood Bank Bhawanipatna,"Hospital Road, SH 44,",06670 234952,19.901936,83.159977
"Odisha Red Cross Blood Bank, SDH, Dharmagarh","Sub-Divisional Hospital, At/Po- Dharmagarh",6672242077,19.869351,82.781124
Sardar Rajas Medical College Hospital Blood Bank,"Blood Bank, Sardar Rajas MCH, Bhawaniptna",06670 226701,19.890621,83.014694
"Odisha Red Cross Blood Bank, SDH, Baliguda","Sub-Divisional Hospital, Near SBI, Balliguda",6846243195,20.200309,83.909889
"Odisha Red Cross Blood Bank, Kandhamal","District Head Quarter Hospital Phulbani, Kandhamal",06842 253006,20.485796,84.224718
District Head Quarters Hospital Blood Bank Kendrapara,"District Head Quarters Hospital Blood Bank, Kendrapara",06727 233334,20.502151,86.425929
"Odisha Red Cross Blood Bank, SDH, Anandapur","Sub Divisional Hospital, Anandapur, Ghasipura",06731 221467,21.628282,85.596419
"Odisha Red Cross Blood Bank, SDH, Champua","Sub Divisional Hospital Champua, At/-SDH, Champua",06767 240898,21.6293658,85.5978164
"Tisco Hospital Blood Bank, Kendujhar","Tisco Hospital, Joda, Kendujhar",06767 272010,22.018667,85.418371
" Odisha Red Cross Blood Bank, Kendujhar","District  Head Quarter Hospital,Kendujhar",06766 254380,21.628282,85.596419
Central Hospital Blood Bank Joda,"Blood Bank,Central  Hospital, Joda, Keonjhar",06767 272231,22.036011,85.434191
"Odisha Red Cross Blood Bank, Capital Hospital ","Capital Hospital, Udyan Marg, Unit-6, Ganga Nagar",0674 2394985,20.260999,85.82211
"Odisha Red Cross Blood Bank, Bhubaneshwar Municipal Hospital","OldTown, Samantarapur
",0674 2591206,20.230822,85.841899
Kalinga Hospital Limited Blood Bank,"Kalinga Hospital, Chandrasekharpur, Bhubaneswar","0674 2300570,  Extn.322",20.313722,85.818325
